id,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,no_of_premiums_paid,sourcing_channel,residence_area_type,target
110936,12058,355060,0,0,0,13,C,Urban,1
41492,21546,315150,0,0,0,21,A,Urban,1
31300,17531,84140,2,3,1,7,C,Rural,0
19415,15341,250510,0,0,0,9,A,Urban,1
99379,31400,198680,0,0,0,12,B,Urban,1
59951,17527,282080,2,0,0,9,B,Rural,1
54031,24829,118400,0,0,0,11,B,Urban,1
94290,21911,180240,1,6,4,3,A,Urban,0
93730,9868,92520,0,0,0,4,A,Urban,1
84844,23008,107180,2,0,0,11,A,Rural,0
87400,17529,200100,1,0,0,22,C,Rural,1
51808,16075,122060,0,0,0,7,B,Urban,1
104167,16436,27290,1,0,1,4,A,Urban,1
52420,19723,136000,0,0,0,9,A,Urban,1
42421,16430,114110,0,0,1,13,D,Urban,1
91820,12788,90140,1,0,0,9,A,Urban,1
64685,23010,410310,0,0,0,10,A,Urban,1
60263,22639,315110,0,0,0,14,A,Rural,1
68260,16433,87530,0,0,0,5,A,Rural,1
